iter	Passed	Remaining
0	4	433
1	11	550
2	15	500
3	19	479
4	24	469
5	28	449
6	32	435
7	36	420
8	40	411
9	44	401
10	48	390
11	52	382
12	56	377
13	60	371
14	64	364
15	68	358
16	72	353
17	75	342
18	77	330
19	80	320
20	82	309
21	84	298
22	86	288
23	88	279
24	89	269
25	91	259
26	92	250
27	94	242
28	95	234
29	97	226
30	98	219
31	99	212
32	101	205
33	102	198
34	103	192
35	104	186
36	106	180
37	107	175
38	108	169
39	109	164
40	110	159
41	112	155
42	113	150
43	115	146
44	116	142
45	117	137
46	118	133
47	120	130
48	121	126
49	122	122
50	124	119
51	125	115
52	126	112
53	128	109
54	130	106
55	131	103
56	132	100
57	134	97
58	135	94
59	136	91
60	137	88
61	139	85
62	140	82
63	141	79
64	142	76
65	143	74
66	145	71
67	146	69
68	147	66
69	149	63
70	150	61
71	151	58
72	152	56
73	153	54
74	155	51
75	156	49
76	157	47
77	159	44
78	160	42
79	161	40
80	162	38
81	163	35
82	165	33
83	166	31
84	167	29
85	168	27
86	169	25
87	171	23
88	171	21
89	173	19
90	174	17
91	175	15
92	176	13
93	177	11
94	178	9
95	179	7
96	180	5
97	182	3
98	183	1
99	184	0
