iter	Passed	Remaining
0	143	142899
1	150	74876
2	156	52087
3	161	40282
4	167	33277
5	171	28485
6	176	24999
7	181	22451
8	187	20699
9	194	19253
10	199	17934
11	207	17051
12	211	16093
13	216	15245
14	221	14520
15	225	13868
16	229	13285
17	234	12769
18	239	12346
19	243	11923
20	248	11565
21	253	11280
22	258	10965
23	262	10673
24	267	10416
25	271	10170
26	275	9926
27	278	9677
28	281	9441
29	284	9185
30	286	8950
31	288	8724
32	290	8513
33	292	8307
34	294	8126
35	297	7953
36	298	7770
37	300	7596
38	301	7429
39	302	7268
40	304	7119
41	306	6983
42	307	6847
43	309	6719
44	310	6592
45	312	6471
46	313	6356
47	314	6245
48	317	6152
49	319	6065
50	321	5976
51	322	5886
52	324	5803
53	326	5720
54	328	5639
55	330	5566
56	332	5497
57	334	5433
58	336	5362
59	337	5293
60	339	5223
61	340	5154
62	342	5089
63	343	5026
64	345	4963
65	346	4903
66	348	4852
67	350	4802
68	351	4746
69	353	4690
70	354	4637
71	355	4586
72	357	4535
73	358	4485
74	359	4437
75	361	4399
76	364	4363
77	365	4318
78	366	4274
79	367	4230
80	369	4189
81	370	4148
82	371	4102
83	372	4065
84	374	4026
85	375	3989
86	377	3958
87	379	3927
88	380	3893
89	381	3859
90	383	3826
91	384	3794
92	385	3762
93	387	3730
94	388	3699
95	389	3668
96	390	3639
97	392	3616
98	394	3588
99	395	3560
100	397	3534
101	398	3506
102	399	3480
103	400	3453
104	402	3428
105	403	3403
106	404	3378
107	406	3355
108	408	3336
109	409	3313
110	410	3290
111	412	3268
112	413	3245
113	414	3223
114	416	3201
115	417	3179
116	418	3155
117	419	3135
118	420	3116
119	422	3100
120	424	3081
121	425	3060
122	426	3041
123	427	3023
124	429	3004
125	430	2985
126	431	2965
127	432	2947
128	433	2929
129	435	2912
130	436	2898
131	438	2881
132	439	2865
133	440	2848
134	441	2831
135	443	2815
136	444	2799
137	445	2783
138	446	2768
139	448	2752
140	449	2738
141	450	2720
142	452	2708
143	453	2694
144	454	2679
145	455	2665
146	456	2650
147	457	2636
148	459	2622
149	460	2609
150	461	2595
151	462	2582
152	464	2569
153	465	2556
154	467	2546
155	468	2533
156	469	2520
157	470	2508
158	472	2496
159	473	2484
160	474	2470
161	475	2458
162	476	2446
163	477	2434
164	478	2423
165	480	2413
166	482	2405
167	483	2395
168	484	2384
169	486	2374
170	487	2363
171	488	2353
172	490	2343
173	491	2333
174	492	2324
175	494	2314
176	496	2306
177	497	2296
178	498	2286
179	499	2276
180	501	2267
181	502	2257
182	503	2247
183	504	2238
184	506	2229
185	507	2219
186	508	2210
187	510	2204
188	511	2196
189	513	2188
190	514	2178
191	515	2169
192	516	2161
193	518	2152
194	519	2143
195	520	2134
196	521	2126
197	522	2118
198	524	2111
199	526	2106
200	528	2099
201	529	2091
202	530	2084
203	532	2076
204	533	2068
205	534	2061
206	536	2053
207	537	2046
208	539	2040
209	540	2035
210	542	2028
211	543	2021
212	545	2016
213	547	2009
214	548	2002
215	549	1996
216	551	1991
217	553	1984
218	554	1978
219	556	1972
220	558	1967
221	559	1962
222	562	1958
223	563	1953
224	565	1947
225	567	1942
226	568	1936
227	570	1932
228	572	1927
229	574	1922
230	575	1915
231	576	1909
232	578	1903
233	579	1896
234	580	1890
235	582	1884
236	583	1878
237	585	1874
238	587	1869
239	588	1864
240	589	1858
241	591	1851
242	592	1845
243	593	1840
244	595	1834
245	596	1828
246	597	1822
247	599	1816
248	600	1812
249	602	1807
250	603	1801
251	604	1795
252	606	1790
253	607	1784
254	608	1778
255	610	1772
256	611	1767
257	612	1761
258	614	1756
259	615	1753
260	617	1748
261	618	1742
262	619	1737
263	621	1732
264	622	1727
265	623	1721
266	625	1716
267	626	1710
268	627	1706
269	629	1701
270	631	1698
271	632	1693
272	633	1688
273	635	1683
274	636	1678
275	637	1672
276	639	1668
277	640	1663
278	641	1658
279	642	1652
280	644	1649
281	646	1645
282	647	1640
283	648	1635
284	650	1630
285	651	1626
286	652	1621
287	654	1617
288	655	1612
289	656	1607
290	658	1603
291	659	1599
292	661	1595
293	662	1591
294	663	1586
295	665	1581
296	666	1577
297	667	1573
298	669	1568
299	670	1564
300	671	1560
301	673	1556
302	674	1552
303	676	1548
304	677	1544
305	679	1540
306	680	1535
307	681	1531
308	682	1527
309	684	1522
310	685	1518
311	686	1514
312	688	1510
313	690	1508
314	691	1504
315	693	1500
316	694	1496
317	695	1492
318	697	1488
319	698	1484
320	699	1480
321	701	1476
322	702	1472
323	704	1469
324	706	1466
325	707	1462
326	708	1458
327	709	1454
328	711	1450
329	712	1446
330	713	1442
331	714	1438
332	716	1434
333	717	1430
334	719	1428
335	720	1424
336	722	1420
337	723	1416
338	724	1413
339	726	1409
340	727	1405
341	728	1402
342	730	1398
343	731	1395
344	733	1392
345	734	1388
346	736	1385
347	737	1381
348	738	1378
349	740	1374
350	741	1370
351	742	1367
352	744	1363
353	745	1359
354	746	1356
355	748	1353
356	749	1350
357	751	1347
358	752	1343
359	753	1340
360	755	1336
361	756	1333
362	757	1329
363	759	1326
364	760	1322
365	761	1319
366	763	1317
367	765	1314
368	766	1310
369	767	1307
370	769	1303
371	770	1300
372	772	1297
373	773	1294
374	774	1291
375	775	1287
376	778	1287
377	780	1283
378	781	1280
379	782	1277
380	784	1274
381	785	1270
382	786	1267
383	788	1264
384	789	1261
385	790	1257
386	792	1254
387	794	1252
388	795	1249
389	796	1246
390	798	1242
391	799	1239
392	800	1236
393	801	1233
394	803	1229
395	804	1226
396	805	1224
397	807	1221
398	809	1218
399	810	1215
400	811	1212
401	812	1209
402	814	1206
403	815	1203
404	816	1199
405	817	1196
406	819	1193
407	820	1190
408	822	1189
409	824	1186
410	825	1183
411	826	1180
412	828	1177
413	829	1174
414	830	1171
415	832	1168
416	833	1165
417	834	1162
418	836	1159
419	838	1157
420	839	1154
421	840	1151
422	841	1148
423	843	1145
424	844	1142
425	845	1139
426	847	1136
427	848	1133
428	849	1130
429	851	1128
430	853	1126
431	854	1123
432	855	1120
433	857	1117
434	858	1114
435	859	1111
436	861	1109
437	862	1106
438	863	1104
439	865	1101
440	867	1098
441	868	1096
442	869	1093
443	871	1090
444	872	1087
445	873	1085
446	875	1083
447	876	1080
448	877	1077
449	878	1074
450	880	1071
451	881	1069
452	883	1066
453	884	1064
454	886	1061
455	887	1058
456	888	1055
457	889	1053
458	891	1050
459	892	1047
460	893	1044
461	894	1042
462	896	1039
463	898	1037
464	899	1034
465	900	1032
466	901	1029
467	903	1026
468	904	1024
469	905	1021
470	906	1018
471	908	1016
472	909	1013
473	910	1010
474	912	1008
475	913	1005
476	914	1003
477	916	1000
478	917	997
479	918	995
480	919	992
481	920	989
482	922	987
483	923	984
484	924	982
485	926	979
486	928	977
487	929	974
488	930	972
489	931	969
490	933	967
491	934	964
492	935	962
493	936	959
494	938	957
495	939	954
496	941	953
497	943	950
498	944	948
499	945	945
500	947	943
501	948	940
502	949	938
503	950	935
504	952	933
505	953	930
506	954	928
507	956	926
508	957	923
509	959	921
510	960	919
511	961	916
512	963	914
513	964	911
514	965	909
515	966	907
516	968	904
517	969	902
518	971	900
519	973	898
520	974	895
521	975	893
522	976	890
523	977	888
524	979	886
525	981	884
526	982	881
527	983	879
528	984	876
529	986	874
530	987	872
531	989	870
532	990	867
533	991	865
534	992	863
535	994	860
536	995	858
537	996	856
538	998	853
539	999	851
540	1001	849
541	1002	847
542	1004	845
543	1005	842
544	1007	841
545	1008	838
546	1010	836
547	1011	834
548	1013	832
549	1016	831
550	1018	829
551	1020	827
552	1021	825
553	1023	823
554	1024	821
555	1026	819
556	1027	817
557	1028	814
558	1030	812
559	1032	811
560	1034	809
561	1035	807
562	1036	804
563	1038	802
564	1039	800
565	1041	798
566	1042	796
567	1044	794
568	1045	792
569	1047	790
570	1048	788
571	1050	785
572	1051	783
573	1053	781
574	1054	779
575	1056	777
576	1057	775
577	1058	773
578	1061	771
579	1062	769
580	1064	767
581	1066	766
582	1068	764
583	1069	762
584	1071	759
585	1072	757
586	1074	755
587	1075	753
588	1077	752
589	1079	750
590	1081	748
591	1082	746
592	1084	744
593	1086	742
594	1087	740
595	1089	738
596	1091	736
597	1093	735
598	1095	733
599	1097	731
600	1098	729
601	1100	727
602	1101	725
603	1102	723
604	1106	722
605	1107	720
606	1109	718
607	1110	716
608	1112	714
609	1114	712
610	1115	710
611	1116	708
612	1118	705
613	1120	704
614	1122	702
615	1123	700
616	1124	698
617	1126	696
618	1127	694
619	1129	692
620	1130	689
621	1131	687
622	1133	685
623	1135	684
624	1137	682
625	1138	680
626	1140	678
627	1141	676
628	1142	674
629	1144	671
630	1145	669
631	1146	667
632	1147	665
633	1150	664
634	1152	662
635	1153	660
636	1154	658
637	1156	656
638	1157	654
639	1159	651
640	1160	649
641	1161	647
642	1162	645
643	1165	644
644	1166	642
645	1168	640
646	1169	638
647	1171	636
648	1172	634
649	1173	632
650	1175	630
651	1176	627
652	1177	625
653	1179	624
654	1181	622
655	1183	620
656	1184	618
657	1185	616
658	1186	614
659	1188	612
660	1189	610
661	1190	608
662	1192	606
663	1194	604
664	1196	602
665	1197	600
666	1198	598
667	1200	596
668	1201	594
669	1202	592
670	1204	590
671	1205	588
672	1206	586
673	1208	584
674	1210	582
675	1211	580
676	1213	578
677	1214	576
678	1215	574
679	1216	572
680	1218	570
681	1219	568
682	1221	566
683	1222	564
684	1224	563
685	1226	561
686	1227	559
687	1229	557
688	1230	555
689	1231	553
690	1232	551
691	1234	549
692	1235	547
693	1236	545
694	1238	543
695	1239	541
696	1241	539
697	1242	537
698	1244	535
699	1245	533
700	1246	531
701	1248	529
702	1249	527
703	1250	525
704	1252	523
705	1253	522
706	1255	520
707	1257	518
708	1258	516
709	1259	514
710	1260	512
711	1262	510
712	1263	508
713	1264	506
714	1266	504
715	1267	502
716	1270	501
717	1271	499
718	1272	497
719	1274	495
720	1275	493
721	1276	491
722	1277	489
723	1279	487
724	1280	485
725	1281	483
726	1284	482
727	1285	480
728	1286	478
729	1288	476
730	1289	474
731	1290	472
732	1292	470
733	1293	468
734	1294	466
735	1295	464
736	1297	463
737	1299	461
738	1301	459
739	1302	457
740	1303	455
741	1304	453
742	1306	451
743	1307	449
744	1308	447
745	1309	446
746	1311	444
747	1313	442
748	1315	440
749	1316	438
750	1317	436
751	1319	435
752	1320	433
753	1321	431
754	1323	429
755	1324	427
756	1325	425
757	1326	423
758	1329	421
759	1330	420
760	1331	418
761	1333	416
762	1334	414
763	1335	412
764	1337	410
765	1338	408
766	1339	406
767	1341	405
768	1342	403
769	1344	401
770	1345	399
771	1347	397
772	1348	395
773	1349	394
774	1350	392
775	1352	390
776	1353	388
777	1354	386
778	1355	384
779	1357	382
780	1359	381
781	1360	379
782	1361	377
783	1363	375
784	1364	373
785	1365	371
786	1366	369
787	1368	368
788	1369	366
789	1370	364
790	1372	362
791	1374	360
792	1375	358
793	1376	357
794	1377	355
795	1378	353
796	1380	351
797	1381	349
798	1382	347
799	1383	345
800	1385	344
801	1386	342
802	1388	340
803	1390	338
804	1391	337
805	1392	335
806	1393	333
807	1395	331
808	1396	329
809	1397	327
810	1398	325
811	1400	324
812	1401	322
813	1403	320
814	1405	318
815	1406	317
816	1407	315
817	1408	313
818	1410	311
819	1411	309
820	1412	307
821	1413	306
822	1415	304
823	1417	302
824	1418	300
825	1420	299
826	1421	297
827	1423	295
828	1424	293
829	1425	292
830	1427	290
831	1428	288
832	1429	286
833	1431	284
834	1433	283
835	1434	281
836	1435	279
837	1437	277
838	1438	276
839	1440	274
840	1441	272
841	1442	270
842	1443	268
843	1445	267
844	1446	265
845	1448	263
846	1449	261
847	1450	260
848	1452	258
849	1453	256
850	1455	254
851	1456	253
852	1457	251
853	1459	249
854	1462	248
855	1464	246
856	1466	244
857	1468	242
858	1469	241
859	1470	239
860	1472	237
861	1473	235
862	1474	234
863	1476	232
864	1478	230
865	1479	228
866	1480	227
867	1481	225
868	1483	223
869	1484	221
870	1485	220
871	1486	218
872	1488	216
873	1489	214
874	1491	213
875	1493	211
876	1494	209
877	1495	207
878	1497	206
879	1498	204
880	1499	202
881	1500	200
882	1502	199
883	1503	197
884	1505	195
885	1506	193
886	1508	192
887	1509	190
888	1510	188
889	1512	186
890	1513	185
891	1514	183
892	1515	181
893	1516	179
894	1518	178
895	1519	176
896	1521	174
897	1522	172
898	1524	171
899	1525	169
900	1526	167
901	1528	166
902	1529	164
903	1530	162
904	1531	160
905	1533	159
906	1534	157
907	1537	155
908	1538	154
909	1540	152
910	1541	150
911	1542	148
912	1543	147
913	1545	145
914	1546	143
915	1547	141
916	1548	140
917	1550	138
918	1552	136
919	1554	135
920	1555	133
921	1556	131
922	1558	129
923	1559	128
924	1560	126
925	1561	124
926	1563	123
927	1564	121
928	1566	119
929	1568	118
930	1569	116
931	1570	114
932	1572	112
933	1573	111
934	1574	109
935	1576	107
936	1578	106
937	1580	104
938	1581	102
939	1582	101
940	1584	99
941	1585	97
942	1586	95
943	1588	94
944	1589	92
945	1590	90
946	1593	89
947	1595	87
948	1596	85
949	1598	84
950	1599	82
951	1600	80
952	1602	79
953	1603	77
954	1604	75
955	1606	73
956	1608	72
957	1610	70
958	1611	68
959	1612	67
960	1614	65
961	1616	63
962	1617	62
963	1618	60
964	1620	58
965	1621	57
966	1623	55
967	1624	53
968	1626	52
969	1627	50
970	1628	48
971	1630	46
972	1631	45
973	1632	43
974	1634	41
975	1635	40
976	1637	38
977	1639	36
978	1640	35
979	1641	33
980	1643	31
981	1644	30
982	1645	28
983	1647	26
984	1648	25
985	1649	23
986	1651	21
987	1653	20
988	1655	18
989	1656	16
990	1657	15
991	1658	13
992	1660	11
993	1661	10
994	1662	8
995	1664	6
996	1665	5
997	1667	3
998	1669	1
999	1670	0
